Condition,Doctor
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
Anemia,Dr. Preeti Verma (General Physician)
Sinusitis,Dr. Sameer Khanna (General Physician)
Minor Injuries and Sprains,Dr. Rohit Singh (General Physician)
Fever,Dr. Anirban Ghosh (General Physician)
Cold and Flu,Dr. Priya Sharma (General Practitioner)
Hypertension (High Blood Pressure),Dr. Rahul Kapoor (Internal Medicine)
Diabetes,Dr. Neha Singh (General Physician)
Asthma,Dr. Sanjay Mehta (General Physician)
Allergies,Dr. Meenakshi Gupta (Immunologist)
Gastroenteritis,Dr. Rakesh Verma (General Physician)
Urinary Tract Infection (UTI),Dr. Sunita Patel (General Physician)
Headaches/Migraines,Dr. Akash Mishra (General Physician)
Back Pain,Dr. Deepika Singh (General Physician)
Skin Infections,Dr. Priyanka Khanna (General Physician)
Anxiety and Depression,Dr. Aarti Sharma (General Physician)
Insomnia,Dr. Rajiv Kapoor (General Physician)
Acute Respiratory Infections,Dr. Kavita Bansal (General Physician)
Osteoarthritis,Dr. Abhishek Kumar (General Physician)
Thyroid Disorders,Dr. Nandini Saxena (General Physician)
Acid Reflux,Dr. Arjun Gupta (General Physician)
