Condition,Doctor
Hypertension,Dr.Sukumar Rao (Cardiology)
Diabetes Type 2,Dr.Amita Patel (Endocrinology)
Arthritis,Dr.Rajesh Sharma (Rheumatology)
Asthma,Dr.Neha Kapoor (Pulmonology)
Coronary Artery Disease,Dr.Vikram Singh (Cardiology)
Migraine,Dr.Anjali Desai (Neurology)
Depression,Dr.Arun Kumar (Psychiatry)
Osteoporosis,Dr.Madhuri Reddy (Orthopedics)
Chronic Kidney Disease,Dr.Sanjay Bansal (Nephrology)
Thyroid Disorder,Dr.Nandini Joshi (Endocrinology)
Obesity,Dr.Rahul Verma (Endocrinology)
Rheumatoid Arthritis,Dr.Deepika Mehta (Rheumatology)
COPD,Dr.Kamal Gupta (Pulmonology)
Heart Failure,Dr.Sanjay Sharma (Cardiology)
Epilepsy,Dr.Manoj Mishra (Neurology)
Anxiety Disorder,Dr.Sneha Malhotra (Psychiatry)
Fractured Bones,Dr.Rajiv Kapoor (Orthopedics)
Acute Kidney Injury,Dr.Mohit Gupta (Nephrology)
Type 1 Diabetes,Dr.Anita Bansal (Endocrinology)
Osteoarthritis,Dr.Rajesh Verma (Rheumatology)
Lung Cancer,Dr.Priya Singh (Oncology)
Migraine,Dr.Amit Mehta (Neurology)
Bipolar Disorder,Dr.Neha Malhotra (Psychiatry)
Spinal Cord Injury,Dr.Vinayak Sharma (Neurology)
Celiac Disease,Dr.Swati Kapoor (Gastroenterology)
Chronic Obstructive Lung Disease,Dr.Rahul Singh (Pulmonology)
Congestive Heart Failure,Dr.Mohini Patel (Cardiology)
Pancreatitis,Dr.Vikas Verma (Gastroenterology)
Ovarian Cancer,Dr.Priyanka Singh (Oncology)
Multiple Sclerosis,Dr.Rohit Bansal (Neurology)
Schizophrenia,Dr.Nidhi Sharma (Psychiatry)
ACL Tear,Dr.Rajeev Verma (Orthopedics)
Hashimoto's Thyroiditis,Dr.Suman Joshi (Endocrinology)
Inflammatory Bowel Disease,Dr.Rahul Sharma (Gastroenterology)
Parkinson's Disease,Dr.Sunil Joshi (Neurology)
Major Depressive Disorder,Dr.Manoj Singh (Psychiatry)
Abscess,Dr.Rohit Mehta (Dermatology)
Acne,Dr.Nidhi Kapoor (Dermatology)
Addison's Disease,Dr.Sunil Mehta (Endocrinology)
Agoraphobia,Dr.Arun Mehta (Psychiatry)
Anemia,Dr.Amita Singh (Hematology)
Aneurysm,Dr.Rajesh Mehta (Cardiology)
Ankylosing Spondylitis,Dr.Vikas Sharma (Rheumatology)
Bronchitis,Dr.Manoj Mehta (Pulmonology)
Cancer,Dr.Priyanka Sharma (Oncology)
Carpal Tunnel Syndrome,Dr.Rajeev Kapoor (Orthopedics)
Celiac Disease,Dr.Swati Kapoor (Gastroenterology)
Cerebral Palsy,Dr.Vinayak Sharma (Neurology)
